Name,Last Updated,Tracked,Actions,,
2voo2m4d-1233,6/4/2020 17:36,1,,, TVM_SERIAL like '2voo2m4d-1233' or 
24tnf780-1471,6/4/2020 17:35,1,,, TVM_SERIAL like '24tnf780-1471' or 
259f46v8-1433,6/4/2020 17:35,1,,, TVM_SERIAL like '259f46v8-1433' or 
e274wjhk-umshini,6/4/2020 15:55,1,,, TVM_SERIAL like 'e274wjhk-umshini' or 
fjbxuj3z-umshini,6/4/2020 15:49,1,,, TVM_SERIAL like 'fjbxuj3z-umshini' or 
t7ecsrag-1347,6/4/2020 14:31,1,,, TVM_SERIAL like 't7ecsrag-1347' or 
nfeapt4s-umshini,6/4/2020 14:21,1,,, TVM_SERIAL like 'nfeapt4s-umshini' or 
syahq8a8-1414,6/4/2020 14:07,1,,, TVM_SERIAL like 'syahq8a8-1414' or 
syahq8a8-umshini,6/4/2020 14:06,1,,, TVM_SERIAL like 'syahq8a8-umshini' or 
y1opp309-263,6/4/2020 11:16,1,,, TVM_SERIAL like 'y1opp309-263' or 
4b2zweoi-umshini,6/4/2020 3:18,1,,, TVM_SERIAL like '4b2zweoi-umshini' or 
22w0ebu9-1227,6/4/2020 3:18,1,,, TVM_SERIAL like '22w0ebu9-1227' or 
8z06ajsz-687,6/3/2020 22:33,1,,,
40wqrouh-umshini,6/3/2020 20:20,1,,,
dbasojoa-1027,6/1/2020 21:37,1,,,
2p0h09no-umshini,5/30/2020 18:12,,,,
4j933rfj-942,5/30/2020 18:06,1,,,
ucdbvyu4-247,5/30/2020 11:24,,,,
9vecsdsd-umshini,5/28/2020 22:10,1,,,
s7vy1ufr-1101,5/28/2020 10:43,1,,,
p2njrc36-790,5/27/2020 20:32,1,,,
mca1pok1-799,5/25/2020 12:05,1,,,
1gfyj07b-umshini,5/25/2020 12:05,1,,,
czlruf4d-umshini,5/24/2020 17:09,1,,,
ilguggg5-942,5/23/2020 15:36,1,,,
c0t5x19p-941,5/23/2020 15:36,1,,,
c1q33prp-umshini,5/22/2020 2:01,1,,,
ud3vvz7e-942,5/21/2020 15:08,1,,,
a15e2a3c-umshini,5/21/2020 13:48,,,,
